Text,Sentiment
I'm so frustrated with everything.,angry
I feel really down right now.,sad
Why does this always happen to me?!,angry
I feel so lucky to have such great friends.,happy
I'm so frustrated with everything.,angry
I’m worried about the future.,fearful
I feel neither happy nor sad.,neutral
The thought of public speaking terrifies me.,fearful
That surprise was completely unexpected.,surprised
I miss my old friends.,sad
This is absolutely disgusting!,disgusted
I'm so frustrated with everything.,angry
"Wow, I didn't expect that to happen!",surprised
I feel anxious about the upcoming event.,fearful
I can't believe how angry I feel.,angry
"Wow, I didn't expect that to happen!",surprised
I'm revolted by the sight of that.,disgusted
I can't believe how angry I feel.,angry
I’m worried about the future.,fearful
The thought of public speaking terrifies me.,fearful
Today has been so tough.,sad
I'm revolted by the sight of that.,disgusted
Why does this always happen to me?!,angry
"Wow, I didn't expect that to happen!",surprised
I feel neither happy nor sad.,neutral
I love spending time with my family!,happy
I'm so frustrated with everything.,angry
I'm feeling quite indifferent right now.,neutral
I’m worried about the future.,fearful
I'm totally shocked by this news.,surprised
I miss my old friends.,sad
I'm so frustrated with everything.,angry
"Wow, I didn't expect that to happen!",surprised
This is absolutely disgusting!,disgusted
I'm feeling quite indifferent right now.,neutral
I feel neither happy nor sad.,neutral
The thought of public speaking terrifies me.,fearful
I'm revolted by the sight of that.,disgusted
The thought of public speaking terrifies me.,fearful
I feel so lucky to have such great friends.,happy
"Wow, I didn't expect that to happen!",surprised
This is the best day of my life!,happy
That surprise was completely unexpected.,surprised
That surprise was completely unexpected.,surprised
That surprise was completely unexpected.,surprised
I can't stand the smell of this.,disgusted
I miss my old friends.,sad
I miss my old friends.,sad
I feel anxious about the upcoming event.,fearful
I feel so lucky to have such great friends.,happy
I'm totally shocked by this news.,surprised
I'm feeling quite indifferent right now.,neutral
Why does this always happen to me?!,angry
I feel anxious about the upcoming event.,fearful
Today was just another ordinary day.,neutral
Today was just another ordinary day.,neutral
I feel anxious about the upcoming event.,fearful
I miss my old friends.,sad
This is the best day of my life!,happy
I'm feeling quite indifferent right now.,neutral
I feel so lucky to have such great friends.,happy
I love spending time with my family!,happy
The thought of public speaking terrifies me.,fearful
This is the best day of my life!,happy
I can't believe how angry I feel.,angry
The thought of public speaking terrifies me.,fearful
I'm feeling quite indifferent right now.,neutral
I feel really down right now.,sad
Today was just another ordinary day.,neutral
I’m worried about the future.,fearful
I'm totally shocked by this news.,surprised
I love spending time with my family!,happy
The thought of public speaking terrifies me.,fearful
I'm totally shocked by this news.,surprised
I'm so frustrated with everything.,angry
I feel so lucky to have such great friends.,happy
I'm so frustrated with everything.,angry
I miss my old friends.,sad
The thought of public speaking terrifies me.,fearful
This is the best day of my life!,happy
Today was just another ordinary day.,neutral
The thought of public speaking terrifies me.,fearful
I feel anxious about the upcoming event.,fearful
"Wow, I didn't expect that to happen!",surprised
"Wow, I didn't expect that to happen!",surprised
I'm feeling quite indifferent right now.,neutral
That surprise was completely unexpected.,surprised
I'm so frustrated with everything.,angry
The thought of public speaking terrifies me.,fearful
I'm totally shocked by this news.,surprised
I'm totally shocked by this news.,surprised
"Wow, I didn't expect that to happen!",surprised
I'm feeling quite indifferent right now.,neutral
I'm revolted by the sight of that.,disgusted
This is the best day of my life!,happy
"Wow, I didn't expect that to happen!",surprised
This is the best day of my life!,happy
That surprise was completely unexpected.,surprised
I'm so frustrated with everything.,angry
I'm totally shocked by this news.,surprised
I feel neither happy nor sad.,neutral
Why does this always happen to me?!,angry
I feel anxious about the upcoming event.,fearful
I miss my old friends.,sad
"Wow, I didn't expect that to happen!",surprised
"Wow, I didn't expect that to happen!",surprised
I'm totally shocked by this news.,surprised
I’m worried about the future.,fearful
Why does this always happen to me?!,angry
I feel so lucky to have such great friends.,happy
I'm so frustrated with everything.,angry
I'm feeling quite indifferent right now.,neutral
This is absolutely disgusting!,disgusted
This is the best day of my life!,happy
I'm totally shocked by this news.,surprised
I'm totally shocked by this news.,surprised
This is absolutely disgusting!,disgusted
I feel really down right now.,sad
I can't believe how angry I feel.,angry
I'm so frustrated with everything.,angry
Why does this always happen to me?!,angry
"Wow, I didn't expect that to happen!",surprised
I'm feeling quite indifferent right now.,neutral
Today has been so tough.,sad
Why does this always happen to me?!,angry
The thought of public speaking terrifies me.,fearful
I feel so lucky to have such great friends.,happy
I can't believe how angry I feel.,angry
This is the best day of my life!,happy
This is absolutely disgusting!,disgusted
I'm so frustrated with everything.,angry
I feel so lucky to have such great friends.,happy
I can't stand the smell of this.,disgusted
I'm so frustrated with everything.,angry
This is absolutely disgusting!,disgusted
I feel so lucky to have such great friends.,happy
I feel anxious about the upcoming event.,fearful
This is the best day of my life!,happy
I'm revolted by the sight of that.,disgusted
I’m worried about the future.,fearful
This is absolutely disgusting!,disgusted
I can't stand the smell of this.,disgusted
I'm feeling quite indifferent right now.,neutral
I feel anxious about the upcoming event.,fearful
Today has been so tough.,sad
Why does this always happen to me?!,angry
I feel really down right now.,sad
"Wow, I didn't expect that to happen!",surprised
This is absolutely disgusting!,disgusted
Today was just another ordinary day.,neutral
I feel so lucky to have such great friends.,happy
I feel really down right now.,sad
I love spending time with my family!,happy
